step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
309,180456,2472,0.001909354451118072,1.0,1.0,,,,,,,,,
310,181040,2480,0.002138379679626681,1.0,1.0,,,,,,,,,
311,181624,2488,0.002566547230828225,1.0,1.0,,,,,,,,,
312,182208,2496,0.0029280619537594846,1.0,1.0,,,,,,,,,
313,182792,2504,0.0034782193657296686,1.0,1.0,0.002588372053437722,1.0,1.0,,,,,,
314,183376,2512,0.0028998089783291037,1.0,1.0,,,,,,,,,
315,183960,2520,0.002441618129577516,1.0,1.0,,,,,,,,,
316,184544,2528,0.0024109902433022824,1.0,1.0,,,,,,,,,
317,185128,2536,0.0022743455957214952,1.0,1.0,,,,,,,,,
318,185712,2544,0.002561749285232923,1.0,1.0,,,,,,,,,
319,186296,2552,0.0024141150985985465,1.0,1.0,,,,,,,,,
320,186880,2560,0.002046436994049255,1.0,1.0,,,,,,,,,
321,187464,2568,0.0022471873374367056,1.0,1.0,0.0027013351367137675,1.0,1.0,,,,,,
322,188048,2576,0.0023046239804902138,1.0,1.0,,,,,,,,,
323,188632,2584,0.001721535643509257,1.0,1.0,,,,,,,,,
324,189216,2592,0.005868480784320604,0.875,0.875,,,,,,,,,
325,189800,2600,0.0025643078128177246,1.0,1.0,,,,,,,,,
326,190384,2608,0.0026100545419833823,1.0,1.0,,,,,,,,,
327,190968,2616,0.00198472255340589,1.0,1.0,,,,,,,,,
328,191552,2624,0.003117179006930909,1.0,1.0,,,,,,,,,
329,192136,2632,0.0021473507534776814,1.0,1.0,0.001777139077120956,1.0,1.0,,,,,,
330,192720,2640,0.0020600512516112386,1.0,1.0,,,,,,,,,
331,193304,2648,0.004447656398137873,0.875,0.875,,,,,,,,,
332,193888,2656,0.0021695293677596473,1.0,1.0,,,,,,,,,
333,194472,2664,0.0019205066892871987,1.0,1.0,,,,,,,,,
